time_ps,RMSD_conformation_A,heavy_geometric_radius_A,protein_CA_RMSD_A,ligand_EGFR_fit_RMSD_A,site_center_distance_A,series,included
1850.0,1.7856466,5.345216,3.9509993,4.1755896,0.68781745,replica_01_seed20260931,False
1860.0,1.5564233,5.397542,3.8116753,4.2431803,0.38709623,replica_01_seed20260931,False
1870.0,1.5998656,5.2356024,3.8407345,4.332276,0.6891191,replica_01_seed20260931,False
1880.0,1.3211739,5.2514725,3.850547,3.810874,1.0167537,replica_01_seed20260931,False
1890.0,1.684534,5.219987,3.668141,3.6328416,0.7107735,replica_01_seed20260931,False
1900.0,2.0921388,5.1606207,3.6573002,3.6035986,0.34847108,replica_01_seed20260931,False
1910.0,1.7372156,5.196755,3.7219813,3.5826921,1.0331268,replica_01_seed20260931,False
1920.0,1.8693771,5.287342,3.4888747,3.7443228,0.96484625,replica_01_seed20260931,False
1930.0,1.6054451,5.184099,3.5225143,3.7477784,0.52665955,replica_01_seed20260931,False
1940.0,1.5249372,5.2828784,3.4126287,4.1360703,0.31290796,replica_01_seed20260931,False
1950.0,1.7168763,5.2483945,3.5377345,3.877691,0.2702018,replica_01_seed20260931,False
1960.0,2.0343642,5.228515,3.50935,4.0585904,0.47000107,replica_01_seed20260931,False
1970.0,1.9414772,5.2930326,3.4954572,3.878501,0.25389886,replica_01_seed20260931,False
1980.0,1.8781095,5.4000587,3.5497293,3.8323078,0.3446937,replica_01_seed20260931,False
1990.0,1.7638848,5.2021475,3.6426506,3.6154099,0.6878006,replica_01_seed20260931,False
2000.0,1.7963238,5.244521,3.58465,3.6429489,0.69594514,replica_01_seed20260931,False
2010.0,1.8587544,5.2616305,3.5500777,3.7836008,0.7616984,replica_01_seed20260931,True
2020.0,1.9897367,5.2786446,3.712525,4.267653,0.7959927,replica_01_seed20260931,True
2030.0,2.012286,5.376807,3.7766986,4.2794094,0.34540486,replica_01_seed20260931,True
2040.0,1.8830123,5.238141,3.9463863,4.2485437,0.3907411,replica_01_seed20260931,True
2050.0,2.1537051,5.309519,3.7087579,4.146826,0.6835726,replica_01_seed20260931,True
2060.0,2.0488365,5.2721586,3.5476267,3.9580274,0.70240325,replica_01_seed20260931,True
2070.0,2.1258333,5.351576,3.55538,4.1830482,0.47656703,replica_01_seed20260931,True
2080.0,1.9556259,5.3063173,3.6933699,4.0886154,0.5687609,replica_01_seed20260931,True
2090.0,1.927958,5.2395105,3.9423208,4.0526323,0.40282074,replica_01_seed20260931,True
2100.0,1.7098947,5.3279643,3.9953508,4.124968,0.3303701,replica_01_seed20260931,True
2110.0,1.7561624,5.1284366,4.0022116,3.9174583,0.6225985,replica_01_seed20260931,True
2120.0,1.7769306,5.2715545,4.059921,4.227514,0.61194724,replica_01_seed20260931,True
2130.0,2.081485,5.2625847,4.025754,4.479253,0.16023305,replica_01_seed20260931,True
2140.0,1.6620729,5.2753067,4.2763224,3.8892565,0.5153502,replica_01_seed20260931,True
2150.0,1.9083215,5.378006,4.313402,4.5128546,0.40031436,replica_01_seed20260931,True
2160.0,1.8935158,5.2972264,4.4210544,3.9538848,0.916029,replica_01_seed20260931,True
2170.0,1.8810564,5.2794075,4.343655,3.9136295,0.67534214,replica_01_seed20260931,True
2180.0,1.942687,5.187407,4.182131,3.9463582,0.8361391,replica_01_seed20260931,True
2190.0,1.9443104,5.102152,4.1446733,3.6592653,1.1798711,replica_01_seed20260931,True
2200.0,2.0457263,5.2531586,4.215391,4.0280347,0.9823693,replica_01_seed20260931,True
2210.0,2.0478628,5.314928,4.2531576,4.035648,0.49311355,replica_01_seed20260931,True
2220.0,1.744292,5.2194586,4.1454587,4.094514,0.31288746,replica_01_seed20260931,True
2230.0,1.8825109,5.3419113,4.0575542,4.1301675,0.593521,replica_01_seed20260931,True
2240.0,1.6309899,5.2935843,4.063588,3.8315854,0.39493883,replica_01_seed20260931,True
2250.0,1.8996221,5.224062,4.1126385,3.848575,0.08961771,replica_01_seed20260931,True
2260.0,1.7998102,5.2678137,4.1015673,3.9840431,0.31403232,replica_01_seed20260931,True
2270.0,2.0351064,5.3257284,4.1345587,4.063941,0.4061797,replica_01_seed20260931,True
2280.0,1.9064449,5.2003593,4.074047,3.7630355,0.70601135,replica_01_seed20260931,True
2290.0,1.8771638,5.333483,3.9428144,3.8748384,0.32429278,replica_01_seed20260931,True
2300.0,2.181262,5.2919793,3.9416475,3.9034402,0.39126858,replica_01_seed20260931,True
2310.0,1.9514234,5.2658234,3.892508,4.1456256,0.39481896,replica_01_seed20260931,True
2320.0,2.176851,5.238985,3.8915923,3.9245834,0.41819102,replica_01_seed20260931,True
2330.0,2.2641997,5.1875405,3.816892,3.9620016,0.56575763,replica_01_seed20260931,True
2340.0,2.058826,5.250733,4.0146203,4.4406548,0.34192306,replica_01_seed20260931,True
2350.0,1.8655403,5.2563787,3.9014807,4.114867,0.42379573,replica_01_seed20260931,True
2360.0,1.8546736,5.3067036,3.7433233,4.4825597,0.28589764,replica_01_seed20260931,True
